ID,ShotsCode,EquipmentID,TriggerTime,Monitor,CreateTime
213,543,192.168.0.101,2020-07-20 16:52:37,"240,235,236,230,225,248,48,0,999,999,44.40,41.20,104.50,465,90,0,0,0,542,630,810,260,180,4,100,0,0,0,1.6,3.0,25.1,49.9,29.6,0.1,218,327,869,1169,1012,180,0.1,180,0.1,-37,0.0,-37,0.0,0.00,49.62,7.46,8.90,11.8,60.10,63.30,999,0,0,67.17,0,1322,50.2,37.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A8",2020-07-20 16:52:22.380
220,544,192.168.0.101,2020-07-20 16:53:27,"240,235,236,230,225,248,48,0,999,999,44.40,41.20,104.50,465,90,0,0,0,542,630,810,260,180,4,100,0,0,0,1.6,3.0,25.1,49.8,29.6,0.0,218,328,871,1169,1012,180,0.0,180,0.0,-37,0.0,-37,0.0,0.00,49.62,7.46,8.91,11.8,60.10,63.30,999,0,0,67.16,0,1324,50.2,37.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A2",2020-07-20 16:53:12.413
226,545,192.168.0.101,2020-07-20 16:54:16,"240,235,236,230,225,247,49,0,999,999,44.40,41.15,104.50,465,90,0,0,0,539,630,810,260,180,4,100,0,0,0,1.6,3.0,25.1,49.9,29.6,0.0,215,330,868,1171,1012,180,0.0,180,0.0,-37,0.1,-37,0.1,0.00,49.62,7.46,8.93,11.8,60.10,63.35,999,0,0,67.21,0,1326,50.2,37.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AD",2020-07-20 16:54:01.457
232,546,192.168.0.101,2020-07-20 16:55:06,"240,235,236,230,225,248,48,0,999,999,44.40,41.12,104.50,465,90,0,0,0,539,630,810,260,180,4,100,0,0,0,1.6,3.0,25.1,49.8,29.6,0.0,212,327,868,1168,1012,180,0.0,180,0.0,-37,0.0,-37,0.0,0.00,49.62,7.46,8.94,11.9,60.10,63.38,999,0,0,67.24,0,1322,50.2,37.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B2",2020-07-20 16:54:51.483
239,547,192.168.0.101,2020-07-20 16:55:56,"240,235,236,230,225,248,48,0,999,999,44.40,41.09,104.50,465,90,0,0,0,537,630,810,260,180,4,100,0,0,0,1.6,3.0,25.1,49.8,29.6,0.0,210,328,865,1166,1010,180,0.0,180,0.0,-37,0.0,-37,0.0,0.00,49.62,7.46,8.91,11.8,60.10,63.41,999,0,0,67.27,0,1318,50.2,37.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AF",2020-07-20 16:55:40.607
245,548,192.168.0.101,2020-07-20 16:56:45,"240,235,236,230,225,248,48,0,999,999,44.40,41.13,104.50,465,90,0,0,0,540,630,810,260,180,4,100,0,0,0,1.6,3.0,25.1,49.8,29.6,0.1,213,328,867,1167,1011,180,0.1,180,0.1,-38,0.1,-38,0.1,0.00,49.62,7.46,8.99,11.9,60.10,63.37,999,0,0,67.24,0,1321,50.2,37.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BA",2020-07-20 16:56:29.663
251,549,192.168.0.101,2020-07-20 16:57:35,"240,235,236,230,225,248,48,0,999,999,44.40,41.24,104.50,465,90,0,0,0,543,630,810,260,180,4,100,0,0,0,1.6,3.0,25.1,49.8,29.6,0.1,220,327,871,1172,1013,180,0.1,180,0.1,-37,0.0,-37,0.0,0.00,49.62,7.46,8.89,11.8,60.10,63.26,999,0,0,67.13,0,1327,50.2,37.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B4",2020-07-20 16:57:19.723
258,550,192.168.0.101,2020-07-20 16:58:24,"240,235,236,230,225,248,48,0,999,999,44.40,41.24,104.50,465,90,0,0,0,543,630,810,260,180,4,100,0,0,0,1.6,3.0,25.1,49.8,29.6,0.0,221,328,871,1170,1012,180,0.0,180,0.0,-37,0.1,-37,0.1,0.00,49.62,7.46,8.93,11.8,60.10,63.26,999,0,0,67.13,0,1326,50.2,37.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A3",2020-07-20 16:58:08.757
266,551,192.168.0.101,2020-07-20 16:59:14,"240,235,236,230,225,247,48,0,999,999,44.40,41.25,104.50,465,90,0,0,0,543,630,810,260,180,4,100,0,0,0,1.6,3.0,25.1,49.8,29.6,0.1,220,328,872,1173,1014,180,0.1,180,0.1,-38,0.1,-38,0.1,0.00,49.62,7.46,8.92,11.8,60.10,63.25,999,0,0,67.12,0,1329,50.2,37.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AF",2020-07-20 16:58:58.803
271,552,192.168.0.101,2020-07-20 17:00:04,"240,235,236,230,225,248,48,0,999,999,44.40,41.15,104.50,465,90,0,0,0,539,630,810,260,180,4,100,0,0,0,1.6,3.0,25.1,49.8,29.6,0.0,214,328,867,1169,1012,180,0.0,180,0.0,-37,0.1,-37,0.1,0.00,49.62,7.46,8.92,11.8,60.10,63.35,999,0,0,67.21,0,1323,50.2,37.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A7",2020-07-20 16:59:47.850
278,553,192.168.0.101,2020-07-20 17:00:53,"240,235,236,230,225,248,48,0,999,999,44.40,41.11,104.50,465,90,0,0,0,539,630,810,260,180,4,100,0,0,0,1.6,3.0,25.1,49.8,29.6,0.1,212,328,867,1168,1011,180,0.1,180,0.1,-37,0.1,-37,0.1,0.00,49.62,7.46,8.92,11.8,60.10,63.39,999,0,0,67.26,0,1320,50.2,37.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A8",2020-07-20 17:00:37.927
285,554,192.168.0.101,2020-07-20 17:01:43,"240,235,236,230,225,248,48,0,999,999,44.40,41.08,104.50,465,90,0,0,0,537,630,810,260,180,4,100,0,0,0,1.6,3.0,25.1,49.8,29.6,0.0,210,328,867,1166,1008,180,0.0,180,0.0,-38,0.0,-38,0.0,0.00,49.62,7.46,8.97,11.9,60.10,63.42,999,0,0,67.28,0,1321,50.2,37.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AD",2020-07-20 17:01:27.990
291,555,192.168.0.101,2020-07-20 17:02:32,"240,235,236,230,225,248,48,0,999,999,44.40,41.16,104.50,465,90,0,0,0,539,630,810,260,180,4,100,0,0,0,1.6,3.0,25.1,49.8,29.6,0.0,216,328,869,1168,1009,180,0.0,180,0.0,-37,0.0,-37,0.0,0.00,49.62,7.46,8.90,11.8,60.10,63.34,999,0,0,67.20,0,1322,50.2,37.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A8",2020-07-20 17:02:16.020
297,556,192.168.0.101,2020-07-20 17:03:22,"240,235,236,230,225,248,48,0,999,999,44.40,41.12,104.50,465,90,0,0,0,538,630,810,260,180,4,100,0,0,0,1.6,3.0,25.1,49.8,29.6,0.1,213,330,870,1166,1009,180,0.1,180,0.1,-37,0.0,-37,0.0,0.00,49.62,7.46,8.88,11.8,60.10,63.38,999,0,0,67.25,0,1321,50.2,37.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A6",2020-07-20 17:03:07.053
304,557,192.168.0.101,2020-07-20 17:04:12,"240,235,236,230,225,248,48,0,999,999,44.40,41.17,104.50,465,90,0,0,0,539,630,810,260,180,4,100,0,0,0,1.6,3.0,25.1,49.8,29.6,0.1,216,330,872,1168,1009,180,0.1,180,0.1,-37,0.1,-37,0.1,0.00,49.62,7.46,8.89,11.8,60.10,63.33,999,0,0,67.19,0,1327,50.2,37.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B8",2020-07-20 17:03:56.113
311,558,192.168.0.101,2020-07-20 17:05:01,"240,235,236,230,225,248,48,0,999,999,44.40,41.16,104.50,465,90,0,0,0,539,630,810,260,180,4,100,0,0,0,1.6,3.0,25.1,49.9,29.6,0.1,216,329,871,1168,1010,180,0.1,180,0.1,-37,0.1,-37,0.1,0.00,49.62,7.46,8.89,11.8,60.10,63.34,999,0,0,67.20,0,1324,50.2,37.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AC",2020-07-20 17:04:46.160
318,559,192.168.0.101,2020-07-20 17:05:51,"240,235,236,230,225,248,48,0,999,999,44.40,41.00,104.50,465,90,0,0,0,533,630,810,260,180,4,100,0,0,0,1.6,3.0,25.1,49.8,29.6,0.1,204,327,865,1162,1006,180,0.1,180,0.1,-37,0.1,-37,0.1,0.00,49.62,7.46,8.96,11.9,60.10,63.50,999,0,0,67.37,0,1316,50.2,37.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A8",2020-07-20 17:05:35.217
324,560,192.168.0.101,2020-07-20 17:06:41,"240,235,236,230,225,248,48,0,999,999,44.40,41.14,104.50,465,90,0,0,0,537,630,810,260,180,4,100,0,0,0,1.6,3.0,25.1,49.8,29.6,0.0,215,328,868,1165,1007,180,0.0,180,0.0,-37,0.1,-37,0.1,0.00,49.62,7.46,8.94,11.9,60.10,63.36,999,0,0,67.23,0,1321,50.2,37.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AE",2020-07-20 17:06:24.253
330,561,192.168.0.101,2020-07-20 17:07:30,"240,235,236,230,225,248,48,0,999,999,44.40,41.20,104.50,465,90,0,0,0,540,630,810,260,180,4,100,0,0,0,1.6,3.0,25.1,49.8,29.6,0.1,218,328,871,1168,1009,180,0.1,180,0.1,-37,0.1,-37,0.1,0.00,49.62,7.46,8.89,11.8,60.10,63.30,999,0,0,67.17,0,1325,50.2,37.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AB",2020-07-20 17:07:14.287
